question,predict_answer,accurate_answer
where did rob kardashian go to school?,University of Southern California,University of Southern California
what year was allen iverson mvp?,2000–01 NBA season,2000–01 NBA season
where did harry s truman go to school?,University of Missouri–Kansas City School of Law,University of Missouri–Kansas City School of Law
what county is utica ny in?,Oneida County,Oneida County
what did charles babbage discover?,The Difference Engine: Charles Babbage and the Quest to Build the First Computer,The Difference Engine: Charles Babbage and the Quest to Build the First Computer
what are members of the house of representatives called?,Congress,Representative
who plays king julian madagascar?,Sacha Baron Cohen,Sacha Baron Cohen
who is rick scott?,Investor,Investor
where did the crimean war take place?,Caucasus,Caucasus
what offices did theodore roosevelt hold?,President of the United States,President
what movies has miley cyrus been in?,Hannah Montana: The Movie,Hannah Montana: The Movie
what century did slavery end in america?,Western Hemisphere,Western Hemisphere
who did james franco play in milk?,Tristan & Isolde,Him/Herself
when did the libyan conflict start?,Muammar al-Gaddafi,2011
what city did marco polo came from?,Venice,Venice
what wnba team is diana taurasi on?,Phoenix Mercury,Phoenix Mercury
what do see in paris?,Musée Maillol,Musée Maillol
what is newcastle metro?,Tyne and Wear,Tyne and Wear
what other organisms did mendel use in experiments?,"He continued teaching part-time, and began his experiments with cross-breeding garden peas.",Experiments in plant hybridisation
who made the laws in canada?,Brian Mulroney,Supreme Court of Canada
what year did adam morrison get drafted?,2006 NBA Draft,2006 NBA Draft
where michael jackson from?,Gary,Gary
what college did maya moore go to?,University of Connecticut,University of Connecticut
when was the last time the dodgers won a championship?,1988 World Series,1988 World Series
who is captain james cook facts?,Explorer,Explorer
where did robin williams get married?,St. Helena,St. Helena
what form of government does canada?,Parliamentary system,Parliamentary system
who do islamic people follow?,Monotheism,Allah
what kind of government does peru?,Presidential system,Presidential system
who was in the israeli palestinian conflict?,Israel,Israel
who founded the afl?,Bud Adams,Bud Adams
where did diego velazquez die?,Madrid,Madrid
what did warren buffett invest in?,Berkshire Hathaway,Berkshire Hathaway
what is the country code for mexico?,mx,mx
what currency do they use in switzerland?,Swiss franc,Swiss franc
what does british colony mean?,British American,British American
when olympic games 2012 opening ceremony?,Once every two years,The Olympic Odyssey
where is president kennedy buried?,Arlington National Cemetery,Arlington National Cemetery
who won the michigan ohio state game 2012?,Ohio State Buckeyes football,Ohio State Buckeyes football
where was the prophet mohammed from?,Mecca,Mecca
what events lead to the battle of antietam?,9/17/1862,Maryland Campaign
what language do ukrainian people speak?,Russian Language,Russian Language
who are the judges appointed in the supreme court?,John Roberts,John Roberts
which country in europe has the largest land area?,Russia,Russia
when did kaley cuoco join charmed?,Charmed Season 8,Charmed Season 8
where is chris rock from?,Andrews,Andrews
what vegetables can i plant in november in southern california?,Olallieberry,Olallieberry
when was the last time the toronto maple leafs win the stanley cup?,1967 Stanley Cup Finals,1967 Stanley Cup Finals
what kind of language do egyptian speak?,Arabic Language,Modern Standard Arabic
what language do brazilians use?,Pomeranian language,Pomeranian language
what position did vince lombardi play?,Right Guard,Right Guard
who played stanley kowalski in a streetcar named desire movie?,Marlon Brando,Marlon Brando
who did the voice for lola bunny?,Britt McKillip,Britt McKillip
what book did charles darwin wrote in 1859?,On evolution,The Origin of Species
what language do serbs speak?,Serbian language,Serbian language
what was the cause of death for laci peterson?,Murder,Murder
what team is kris humphries play for?,Brooklyn Nets,Brooklyn Nets
what was the government like in virginia colony?,Government of Virginia,Government of Virginia
what movies gerard butler has been in?,Attila,Attila
where did john franklin live?,Blue Island,Blue Island
what language do bosnian muslims speak?,Serbo-Croatian,Bosnian language
what was tycho brahe theory?,Brahe's astronomical investigations began to suggest that the existing literature on the solar system was inaccurate.,Brahe's astronomical investigations began to suggest that the existing literature on the solar system was inaccurate.
what was the last movie sean connery was in?,Sir Billi,Sir Billi
what team did drogba play for?,Galatasaray S.K.,Galatasaray S.K.
where did crabtree go to college?,Texas Tech University,Texas Tech University
where does freddie ljungberg come from?,Sweden,Sweden
who is number 22 on miami dolphins?,Reshad Jones,Reshad Jones
where is staten island ferry?,Staten Island,Staten Island
what state did john adams live in?,Massachusetts,Massachusetts
what type of music did vivaldi compose?,Baroque music,Baroque music
what college did john nash teach at?,Princeton University,Princeton University
who were jesus siblings?,Church of the Holy Sepulchre,Jude the Apostle
what team does mike fisher play for?,Nashville Predators,Nashville Predators
what films has daniel craig been in?,The Invasion,The Invasion
what materials did eduardo paolozzi use in his work?,Sculpture,Sculpture
what did joe biden study in college?,Political Science,Political Science
who did marilyn monroe marry at 16?,James Dougherty,James Dougherty
who plays timon's voice in the lion king?,Nathan Lane,Nathan Lane
what part of the country is ohio in?,Midwestern United States,Midwestern United States
which island is kailua on?,Hawaii,Hawaii
what language do speak in argentina?,Spanish Language,Yiddish Language
what did whoopi goldberg won a grammy for?,Grammy Award for Best Comedy Album,Grammy Award for Best Comedy Album
what is modern day judah?,Jerusalem,Jerusalem
who played maggie in himym?,Nancy Cartwright,Nancy Cartwright
who does owen schmitt play for?,Seattle Seahawks,Seattle Seahawks
what party was thomas jefferson affiliated with?,Democratic-Republican Party,Democratic-Republican Party
what religions are popular in france?,Catholicism,Catholicism
who played berger in sex and the city?,for amos,for amos
who won the 2000 fa cup final?,Portsmouth F.C.,Liverpool F.C.
what are the names of michael jackson's kids?,Paris-Michael Katherine Jackson,Paris-Michael Katherine Jackson
what movies have robert pattinson in them?,Eclipse,Eclipse
what the time zone in japan?,Japan Standard Time,Japan Standard Time
who plays bob kelso in scrubs?,Ken Jenkins,Ken Jenkins
what race is vanessa carlton?,Russian,Russian
what do people in czech republic speak?,Greek Language,Croatian language
which countries speak arabic language?,Saudi Arabia,Bahrain
where does tim cook work?,Apple Inc.,Apple Inc.
what degrees does romney have?,Cranbrook Schools,Juris Doctor
where is bob marley buried?,Bob Marley Mausoleum,Bob Marley Mausoleum
what is london uk time zone?,2012 Summer Olympics,Greenwich Mean Time
where to stay in chicago tourist?,Hotel Sax Chicago,Hotel Sax Chicago
what type of breast cancer did sheryl crow have?,Meningioma,Meningioma
what type of government does argentina have today?,Representative democracy,Representative democracy
where does fabio capello come from?,Italy,Italy
what party was abe lincoln part of?,Illinois Republican Party,Illinois Republican Party
what did jack london do for a living?,Author,Author
who did morgan freeman marry?,Myrna Colley-Lee,Myrna Colley-Lee
what are the mountains in northern italy called?,Italian Peninsula,Alps
what influenced john steinbeck to start writing?,William Faulkner,William Faulkner
where is dwayne johnson ethnicity?,African American,African American
where are the nato headquarters located?,Netherlands,Netherlands
in which state was the battle of antietam fought?,9/17/1862,9/17/1862
which ocean does the zambezi river flow into?,Tanzania,Indian Ocean
what are the 7 sacraments of the catholic church?,Book of Nehemiah,Holy Orders
what team did david beckham play for before la galaxy?,Midfielder,Preston North End F.C.
who is the current leader of france 2010?,Nicolas Sarkozy,Nicolas Sarkozy
where was the palace of knossos located?,Crete,Crete
where is roswell area 51?,Roswell,Roswell
when was father chris riley born?,1967,1967
